datetime,temperature_C,power_draw_W,utilization_MiB,memory_used_MiB,memory_total_percentage
2018-02-24 02:22:31.682100,88,89.90,2822,8114,100
2018-02-24 02:22:41.723069,88,90.02,2822,8114,100
2018-02-24 02:22:51.761923,88,89.90,2822,8114,100
2018-02-24 02:23:01.800515,88,90.09,2822,8114,100
2018-02-24 02:23:11.850036,88,90.09,2822,8114,100
2018-02-24 02:23:21.885746,88,90.03,2822,8114,100
2018-02-24 02:23:31.922016,88,89.93,2822,8114,100
2018-02-24 02:23:41.962477,88,90.03,2822,8114,100
2018-02-24 02:23:51.991790,88,90.05,2822,8114,100
2018-02-24 02:24:02.035382,88,90.02,2822,8114,100
2018-02-24 02:24:12.075064,88,90.05,2822,8114,100
2018-02-24 02:24:22.107293,88,89.86,2822,8114,100
2018-02-24 02:24:32.137601,88,89.98,2822,8114,100
2018-02-24 02:24:42.178295,88,90.05,2822,8114,100
2018-02-24 02:24:52.209883,88,90.05,2822,8114,100
2018-02-24 02:25:02.252102,88,90.09,2822,8114,100
2018-02-24 02:25:12.304282,88,89.98,2822,8114,100
2018-02-24 02:25:22.345972,88,89.98,2822,8114,100
2018-02-24 02:25:32.392373,88,89.86,2822,8114,100
2018-02-24 02:25:42.427048,88,89.93,2822,8114,100
2018-02-24 02:25:52.463059,88,88.20,2822,8114,100
2018-02-24 02:26:02.498735,88,89.90,2822,8114,100
2018-02-24 02:26:12.537575,88,90.14,2822,8114,100
2018-02-24 02:26:22.571417,88,89.94,2822,8114,100
2018-02-24 02:26:32.613409,88,90.05,2822,8114,100
2018-02-24 02:26:42.647718,88,90.02,2822,8114,100
2018-02-24 02:26:52.676537,88,89.98,2822,8114,100
2018-02-24 02:27:02.712409,88,90.05,2822,8114,100
2018-02-24 02:27:12.748483,88,89.98,2822,8114,100
2018-02-24 02:27:22.778552,88,90.02,2822,8114,100
2018-02-24 02:27:32.815730,88,90.09,2822,8114,100
2018-02-24 02:27:42.849924,88,89.90,2822,8114,100
2018-02-24 02:27:52.887163,88,90.02,2822,8114,100
2018-02-24 02:28:02.930938,88,89.98,2822,8114,100
2018-02-24 02:28:12.965999,88,89.98,2822,8114,100
2018-02-24 02:28:23.002823,88,89.98,2822,8114,100
2018-02-24 02:28:33.051410,88,89.98,2822,8114,100
2018-02-24 02:28:43.087187,88,89.59,2822,8114,100
2018-02-24 02:28:53.125617,88,89.90,2822,8114,100
2018-02-24 02:29:03.166483,88,90.05,2822,8114,100
2018-02-24 02:29:13.206360,88,89.98,2822,8114,100
2018-02-24 02:29:23.244167,88,89.93,2822,8114,100
2018-02-24 02:29:33.282129,88,90.02,2822,8114,100
2018-02-24 02:29:43.327834,88,90.02,2822,8114,100
2018-02-24 02:29:53.368237,88,90.05,2822,8114,100
2018-02-24 02:30:03.399461,88,89.86,2822,8114,100
2018-02-24 02:30:13.440852,88,90.02,2822,8114,100
2018-02-24 02:30:23.483092,88,90.02,2822,8114,100
2018-02-24 02:30:33.520781,88,90.05,2822,8114,100
2018-02-24 02:30:43.564132,88,90.05,2822,8114,100
2018-02-24 02:30:53.606335,88,90.09,2822,8114,100
2018-02-24 02:31:03.646717,88,90.05,2822,8114,100
2018-02-24 02:31:13.684284,88,90.09,2822,8114,100
2018-02-24 02:31:23.717802,88,89.98,2822,8114,100
2018-02-24 02:31:33.746781,88,90.02,2822,8114,100
2018-02-24 02:31:43.784205,88,90.02,2822,8114,100
2018-02-24 02:31:53.822437,88,89.98,2822,8114,100
2018-02-24 02:32:03.853924,88,89.93,2822,8114,100
2018-02-24 02:32:13.889709,88,89.98,2822,8114,100
2018-02-24 02:32:23.927731,88,89.91,2822,8114,100
2018-02-24 02:32:33.950464,88,90.14,2822,8114,100
2018-02-24 02:32:43.999731,88,90.09,2822,8114,100
2018-02-24 02:32:54.040200,88,90.02,2822,8114,100
2018-02-24 02:33:04.066607,88,89.98,2822,8114,100
2018-02-24 02:33:14.106885,88,90.05,2822,8114,100
2018-02-24 02:33:24.149289,88,90.02,2822,8114,100
2018-02-24 02:33:34.188074,88,90.02,2822,8114,100
2018-02-24 02:33:44.226749,88,90.09,2822,8114,100
2018-02-24 02:33:54.259440,88,89.90,2822,8114,100
2018-02-24 02:34:04.297848,88,90.02,2822,8114,100
2018-02-24 02:34:14.341444,88,90.05,2822,8114,100
2018-02-24 02:34:24.384068,88,89.98,2822,8114,100
2018-02-24 02:34:34.411638,88,90.05,2822,8114,100
2018-02-24 02:34:44.454699,88,90.05,2822,8114,100
2018-02-24 02:34:54.489969,88,90.14,2822,8114,100
2018-02-24 02:35:04.533602,88,90.14,2822,8114,100
2018-02-24 02:35:14.560692,88,90.05,2822,8114,100
2018-02-24 02:35:24.608606,88,90.02,2822,8114,100
2018-02-24 02:35:34.641901,88,89.98,2822,8114,100
2018-02-24 02:35:44.666624,88,89.98,2822,8114,100
2018-02-24 02:35:54.705445,88,89.93,2822,8114,100
2018-02-24 02:36:04.753051,88,89.93,2822,8114,100
2018-02-24 02:36:14.774202,88,89.59,2822,8114,100
2018-02-24 02:36:24.804895,88,89.98,2822,8114,100
2018-02-24 02:36:34.838502,88,90.05,2822,8114,100
2018-02-24 02:36:44.870906,88,90.02,2822,8114,100
2018-02-24 02:36:54.905746,88,89.98,2822,8114,100
2018-02-24 02:37:04.947953,88,90.05,2822,8114,100
2018-02-24 02:37:14.992440,88,89.93,2822,8114,100
2018-02-24 02:37:25.023465,88,90.14,2822,8114,100
2018-02-24 02:37:35.067044,88,89.93,2822,8114,100
2018-02-24 02:37:45.115219,88,89.98,2822,8114,100
2018-02-24 02:37:55.154532,88,90.02,2822,8114,100
2018-02-24 02:38:05.200876,88,90.02,2822,8114,100
2018-02-24 02:38:15.231955,88,90.09,2822,8114,100
2018-02-24 02:38:25.275869,88,89.90,2822,8114,100
2018-02-24 02:38:35.326201,88,90.09,2822,8114,100
2018-02-24 02:38:45.357004,88,89.98,2822,8114,100
2018-02-24 02:38:55.397855,88,89.98,2822,8114,100
2018-02-24 02:39:05.432774,88,90.05,2822,8114,100
2018-02-24 02:39:15.478404,88,89.98,2822,8114,100
2018-02-24 02:39:25.524207,88,90.05,2822,8114,100
2018-02-24 02:39:35.563602,88,89.98,2822,8114,100
2018-02-24 02:39:45.601915,88,90.02,2822,8114,100
2018-02-24 02:39:55.644853,88,90.05,2822,8114,100
2018-02-24 02:40:05.685872,88,89.93,2822,8114,100
2018-02-24 02:40:15.727193,88,89.98,2822,8114,100
2018-02-24 02:40:25.761506,88,89.98,2822,8114,100
2018-02-24 02:40:35.795474,88,89.93,2822,8114,100
2018-02-24 02:40:45.819374,88,90.02,2822,8114,100
2018-02-24 02:40:55.863800,88,89.86,2822,8114,100
2018-02-24 02:41:05.899264,88,90.02,2822,8114,100
2018-02-24 02:41:15.934303,88,90.02,2822,8114,100
2018-02-24 02:41:25.967049,88,90.05,2822,8114,100
2018-02-24 02:41:36.013789,88,90.02,2822,8114,100
2018-02-24 02:41:46.053437,88,90.05,2822,8114,100
2018-02-24 02:41:56.086073,88,89.93,2822,8114,100
2018-02-24 02:42:06.116891,88,89.83,2822,8114,100
2018-02-24 02:42:16.156024,88,89.98,2822,8114,100
2018-02-24 02:42:26.196640,88,90.05,2822,8114,100
2018-02-24 02:42:36.238897,88,90.05,2822,8114,100
2018-02-24 02:42:46.282274,88,89.90,2822,8114,100
2018-02-24 02:42:56.319921,88,89.90,2822,8114,100
2018-02-24 02:43:06.365801,88,90.02,2822,8114,100
2018-02-24 02:43:16.399208,88,90.02,2822,8114,100
2018-02-24 02:43:26.437786,88,89.98,2822,8114,100
2018-02-24 02:43:36.479747,88,90.02,2822,8114,100
2018-02-24 02:43:46.530230,88,90.05,2822,8114,100
2018-02-24 02:43:56.564336,88,89.86,2822,8114,100
2018-02-24 02:44:06.607198,88,90.02,2822,8114,100
2018-02-24 02:44:16.642754,88,90.05,2822,8114,100
2018-02-24 02:44:26.674853,88,90.02,2822,8114,100
2018-02-24 02:44:36.714712,88,90.05,2822,8114,100
2018-02-24 02:44:46.757849,88,89.94,2822,8114,100
2018-02-24 02:44:56.788335,88,89.98,2822,8114,100
2018-02-24 02:45:06.824322,88,89.98,2822,8114,100
2018-02-24 02:45:16.862589,88,90.14,2822,8114,100
2018-02-24 02:45:26.902807,88,89.90,2822,8114,100
2018-02-24 02:45:36.939042,88,89.90,2822,8114,100
2018-02-24 02:45:46.988458,88,89.90,2822,8114,100
2018-02-24 02:45:57.015024,88,90.02,2822,8114,100
2018-02-24 02:46:07.055361,88,89.90,2822,8114,100
2018-02-24 02:46:17.088654,88,90.05,2822,8114,100
2018-02-24 02:46:27.122938,88,89.93,2822,8114,100
2018-02-24 02:46:37.159366,88,89.98,2822,8114,100
2018-02-24 02:46:47.204400,88,90.02,2822,8114,100
2018-02-24 02:46:57.239896,88,90.02,2822,8114,100
2018-02-24 02:47:07.271070,88,90.02,2822,8114,100
2018-02-24 02:47:17.303537,88,90.05,2822,8114,100
2018-02-24 02:47:27.349025,88,90.05,2822,8114,100
2018-02-24 02:47:37.384,88,89.98,2822,8114,100
2018-02-24 02:47:47.425240,88,89.98,2822,8114,100
2018-02-24 02:47:57.466015,88,89.98,2822,8114,100
2018-02-24 02:48:07.508930,88,90.02,2822,8114,100
2018-02-24 02:48:17.547978,88,90.02,2822,8114,100
2018-02-24 02:48:27.582921,88,89.98,2822,8114,100
2018-02-24 02:48:37.620050,88,90.02,2822,8114,100
2018-02-24 02:48:47.668086,88,89.98,2822,8114,100
2018-02-24 02:48:57.694804,87,90.02,2822,8114,100
2018-02-24 02:49:07.736828,88,90.05,2822,8114,100
2018-02-24 02:49:17.768654,88,89.86,2822,8114,100
2018-02-24 02:49:27.803325,87,90.02,2822,8114,100
2018-02-24 02:49:37.832260,88,89.90,2822,8114,100
2018-02-24 02:49:47.856970,88,89.98,2822,8114,100
2018-02-24 02:49:57.893436,88,89.88,2822,8114,100
2018-02-24 02:50:07.920556,88,89.90,2822,8114,100
2018-02-24 02:50:17.947034,88,89.33,2822,8114,100
2018-02-24 02:50:27.983428,87,89.83,2822,8114,100
2018-02-24 02:50:38.017306,88,89.90,2822,8114,100
2018-02-24 02:50:48.053320,88,90.02,2822,8114,100
2018-02-24 02:50:58.096348,88,89.98,2822,8114,100
2018-02-24 02:51:08.123217,88,89.98,2822,8114,100
2018-02-24 02:51:18.165109,88,90.05,2822,8114,100
